transaction_id,ground_truth_decision,ground_truth_reason,expected_bank_id,expected_ledger_id,edge_case_type
TXN0043,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0048,LDG0043,FEE_DEDUCTION
TXN0044,MATCH,"Exact three-way match on reference, amount, and date",BNK0049,LDG0044,EXACT_MATCH
TXN0045,MATCH,"Exact three-way match on reference, amount, and date",BNK0050,LDG0045,EXACT_MATCH
TXN0046,MATCH,AI candidate disambiguation: BNK0051 matches payment PAYJV1V93KM via description Ref: P-JV1V93KM,BNK0051,LDG0046,AI_RESOLVABLE
TXN0047,MATCH,"Exact three-way match on reference, amount, and date",BNK0053,LDG0047,EXACT_MATCH
TXN0048,MATCH,"Exact three-way match on reference, amount, and date",BNK0054,LDG0048,EXACT_MATCH
TXN0049,MATCH,"Exact three-way match on reference, amount, and date",BNK0055,LDG0049,EXACT_MATCH
TXN0050,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0056,LDG0050,FEE_DEDUCTION
TXN0051,MATCH,"Exact three-way match on reference, amount, and date",BNK0057,LDG0051,EXACT_MATCH
TXN0052,EXCEPTION,"Duplicate settlement records (BNK0058, BNK0059) for reference PAY2V37PQKO",BNK0058|BNK0059,LDG0052,DUPLICATE_BANK
TXN0053,MATCH,"Exact three-way match on reference, amount, and date",BNK0060,LDG0053,EXACT_MATCH
TXN0054,MATCH,"Exact three-way match on reference, amount, and date",BNK0061,LDG0054,EXACT_MATCH
TXN0055,MATCH,"Exact three-way match on reference, amount, and date",BNK0062,LDG0055,EXACT_MATCH
TXN0056,MATCH,Settlement date drifted 2 day(s) from payment date -- within 3-day window,BNK0063,LDG0056,DATE_DRIFT
TXN0057,MATCH,Bank settlement = payment minus 2% gateway fee,BNK0064,LDG0057,FEE_DEDUCTION
TXN0058,EXCEPTION,No bank settlement record found for this payment,,LDG0058,MISSING_BANK
TXN0059,MATCH,"Exact three-way match on reference, amount, and date",BNK0065,LDG0059,EXACT_MATCH
TXN0060,EXCEPTION,No bank settlement record found for this payment,,LDG0060,MISSING_BANK
TXN0061,MATCH,"Exact three-way match on reference, amount, and date",BNK0066,LDG0061,EXACT_MATCH
TXN0062,MATCH,AI candidate disambiguation: BNK0067 matches payment PAYB0Z3NX39 via description Ref: P-B0Z3NX39,BNK0067,LDG0062,AI_RESOLVABLE
TXN0063,MATCH,"Exact three-way match on reference, amount, and date",BNK0069,LDG0063,EXACT_MATCH
TXN0064,MATCH,"Exact three-way match on reference, amount, and date",BNK0070,LDG0064,EXACT_MATCH
TXN0065,MATCH,"Exact three-way match on reference, amount, and date",BNK0071,LDG0065,EXACT_MATCH
TXN0066,EXCEPTION,Amount mismatch of 14.4% between payment and bank -- not explainable by 2% fee,BNK0072,LDG0066,AMOUNT_MISMATCH
TXN0067,MATCH,Settlement date drifted 3 day(s) from payment date -- within 3-day window,BNK0073,LDG0067,DATE_DRIFT
TXN0068,EXCEPTION,No bank settlement record found for this payment,,LDG0068,MISSING_BANK
TXN0069,MATCH,Settlement date drifted 1 day(s) from payment date -- within 3-day window,BNK0074,LDG0069,DATE_DRIFT
TXN0070,EXCEPTION,Amount mismatch of 10.2% between payment and bank -- not explainable by 2% fee,BNK0075,LDG0070,AMOUNT_MISMATCH
TXN0071,MATCH,"Exact three-way match on reference, amount, and date",BNK0076,LDG0071,EXACT_MATCH
TXN0072,EXCEPTION,"Duplicate settlement records (BNK0077, BNK0078) for reference PAY8K52QC1I",BNK0077|BNK0078,LDG0072,DUPLICATE_BANK
TXN0073,MATCH,"Name variation across sources with consistent reference, amount, and date",BNK0079,LDG0073,NAME_VARIATION
TXN0074,MATCH,"Exact three-way match on reference, amount, and date",BNK0080,LDG0074,EXACT_MATCH
TXN0075,MATCH,"Exact three-way match on reference, amount, and date",BNK0081,LDG0075,EXACT_MATCH
TXN0076,EXCEPTION,"Duplicate settlement records (BNK0082, BNK0083) for reference PAY5X4W7KYH",BNK0082|BNK0083,LDG0076,DUPLICATE_BANK
TXN0077,EXCEPTION,Amount mismatch of 13.8% between payment and bank -- not explainable by 2% fee,BNK0084,LDG0077,AMOUNT_MISMATCH
TXN0078,MATCH,"Exact three-way match on reference, amount, and date",BNK0085,LDG0078,EXACT_MATCH
TXN0079,MATCH,Settlement date drifted 1 day(s) from payment date -- within 3-day window,BNK0086,LDG0079,DATE_DRIFT
TXN0080,MATCH,AI candidate disambiguation: BNK0087 matches payment PAYVAJEPECQ via description Ref: P-VAJEPECQ,BNK0087,LDG0080,AI_RESOLVABLE
TXN0081,MATCH,"Exact three-way match on reference, amount, and date",BNK0089,LDG0081,EXACT_MATCH
TXN0082,MATCH,AI candidate disambiguation: BNK0090 matches payment PAYNVKSP2EX via description Ref: P-NVKSP2EX,BNK0090,LDG0082,AI_RESOLVABLE
TXN0083,MATCH,"Exact three-way match on reference, amount, and date",BNK0092,LDG0083,EXACT_MATCH
TXN0084,MATCH,"Exact three-way match on reference, amount, and date",BNK0093,LDG0084,EXACT_MATCH
TXN0085,MATCH,"Exact three-way match on reference, amount, and date",BNK0094,LDG0085,EXACT_MATCH
TXN0086,MATCH,"Exact three-way match on reference, amount, and date",BNK0095,LDG0086,EXACT_MATCH
TXN0087,MATCH,"Exact three-way match on reference, amount, and date",BNK0096,LDG0087,EXACT_MATCH
TXN0088,MATCH,"Exact three-way match on reference, amount, and date",BNK0097,LDG0088,EXACT_MATCH
TXN0089,MATCH,"Exact three-way match on reference, amount, and date",BNK0098,LDG0089,EXACT_MATCH
TXN0090,EXCEPTION,No bank settlement record found for this payment,,LDG0090,MISSING_BANK
